Year,Date,Site,Field plot,Pair,Plot,Treatment,Achillea millefolium,Achnatherum nelsonii,Agoseris glauca leaves,Agoserius aurantiaca,Boechera stricta,Botrychium sp.,Bromus inermis,Carex obtusata,Castilleja septentrionalis,Dactylis glomerata,Elymus lanceolatus,Elymus trachycaulus,Erigeron coulteri,Erigeron speciosus,Erigeron subtrinervis,Fragaria virginiana,Hymenoxys hoopesii,Ipomopsis aggregata,Lathyrus lanszwertii,Mertensia brevistyla,Poa compressa,Poa pratensis,Potentilla pulcherrima,Solidago multiradiata,Taraxacum officinale,Thalictrum fendleri,Trisetum spicatum ,Valeriana occidentalis,Viola adunca
2024,7/10/24,Avery,C1,41,1,Castilleja,8,0,0,0,0,0,2,0,1,0,7,0,0,1,0,0,0,2,0,0,0,7,3,0,10,0,0,0,0
2024,7/10/24,Avery,C1C,41,2,Control,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,11,0,7,0,0,0,5,1,0,7,1,0,0,1
2024,7/10/24,Avery,C2,42,3,Castilleja,0,0,3,0,0,0,0,0,1,4,0,0,0,0,0,0,0,1,0,0,0,10,15,0,12,1,0,2,0
2024,7/10/24,Avery,C2C,42,4,Control,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,3,0,0,0,11,3,0,30,0,0,0,2
2024,7/10/24,Avery,C3,43,5,Castilleja,8,1,4,0,0,0,0,1,2,3,0,0,4,0,0,0,0,6,0,0,1,1,5,0,30,0,0,0,2
2024,7/10/24,Avery,C3C,43,6,Control,0,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,7,2,0,10,0,0,0,1
2024,7/10/24,Avery,C4,44,7,Castilleja,1,0,3,0,0,0,0,0,1,0,1,0,1,0,0,3,0,0,0,0,0,3,4,0,20,0,0,0,0
2024,7/10/24,Avery,C4C,44,8,Control,0,2,2,0,0,0,0,0,0,2,0,0,1,0,0,1,0,2,3,0,1,0,3,0,10,0,0,0,0
2024,7/10/24,Avery,C5,45,9,Castilleja,0,1,6,0,0,0,0,0,1,1,0,0,3,0,0,1,0,4,0,0,1,1,5,0,40,0,0,0,0
2024,7/10/24,Avery,C5C,45,10,Control,0,0,7,0,0,0,0,0,0,0,2,0,2,0,0,1,0,2,0,0,0,1,6,0,10,0,0,0,0
2024,7/10/24,Avery,C6,46,11,Castilleja,0,1,3,0,0,0,0,0,1,0,0,0,4,0,0,0,0,1,0,0,10,0,5,0,10,0,0,0,0
2024,7/10/24,Avery,C6C,46,12,Control,0,4,6,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,8,0,5,0,40,0,0,0,2
2024,7/10/24,Avery,C7,47,13,Castilleja,0,0,6,0,0,1,0,0,2,0,0,0,0,3,0,3,0,2,0,0,1,0,5,0,30,0,0,0,1
2024,7/10/24,Avery,C7C,47,14,Control,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,4,0,1,2,0,4,0,15,0,0,3,3
2024,7/10/24,Avery,C8,48,15,Castilleja,0,0,3,0,0,0,0,0,1,0,1,0,0,1,0,2,0,0,0,0,0,1,3,0,2,0,0,3,3
2024,7/10/24,Avery,C8C,48,16,Control,0,0,2,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,2,0,10,0,0,1,0
2024,7/11/24,Avery,C9,49,17,Castilleja,1,0,1,0,0,0,0,5,1,0,0,0,0,0,3,8,3,0,0,0,10,0,6,0,30,0,0,1,0
2024,7/11/24,Avery,C9C,49,18,Control,0,0,9,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,5,8,5,0,20,0,0,1,0
2024,7/11/24,Avery,C10,50,19,Castilleja,0,1,3,0,0,0,0,10,1,4,0,0,2,0,0,0,0,3,0,0,2,0,9,0,20,0,0,0,3
2024,7/11/24,Avery,C10C,50,20,Control,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,3,3,0,0,10,0,5,0,20,0,0,0,2
2024,7/11/24,Avery,C11,51,21,Castilleja,0,2,0,0,0,0,0,0,3,1,2,0,4,0,3,0,0,6,0,0,0,20,2,0,25,0,0,1,0
2024,7/11/24,Avery,C11C,51,22,Control,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,0,2,0,1,0,30,3,0,8,2,0,1,0
2024,7/11/24,Avery,C12,52,23,Castilleja,0,1,0,0,0,1,0,0,2,3,0,0,2,0,3,0,0,6,0,0,2,20,2,3,25,0,4,1,0
2024,7/11/24,Avery,C12C,52,24,Control,0,3,1,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,1,0,0,6,3,0,4,0,0,3,0
2024,7/11/24,Avery,C13,53,25,Castilleja,0,3,3,0,0,0,4,0,2,0,0,0,2,0,2,0,0,4,0,1,0,5,0,2,9,0,0,0,0
2024,7/11/24,Avery,C13C,53,26,Control,0,2,9,1,0,0,0,0,0,0,1,0,4,0,0,0,0,2,0,0,2,0,0,0,6,0,0,1,0
2024,7/11/24,Avery,C14,54,27,Castilleja,0,4,7,0,0,0,0,0,2,1,0,0,0,0,4,0,0,2,0,0,15,0,0,0,15,0,0,1,0
2024,7/11/24,Avery,C14C,54,28,Control,0,0,5,0,0,0,2,0,0,0,0,0,0,0,1,0,0,6,0,1,10,0,2,0,10,0,0,0,1
2024,7/11/24,Avery,C15,55,29,Castilleja,1,0,2,0,0,0,0,1,1,0,0,0,0,0,2,0,0,6,0,0,6,0,3,0,6,0,0,0,1
2024,7/11/24,Avery,C15C,55,30,Control,2,2,2,0,0,0,0,0,0,1,0,0,1,0,4,0,0,2,0,0,15,0,7,0,6,0,0,0,2
2024,7/11/24,Avery,C16,56,31,Castilleja,7,3,3,0,2,0,5,0,1,2,0,0,0,0,0,0,0,2,0,0,5,6,5,3,7,0,0,0,0
2024,7/11/24,Avery,C16C,56,32,Control,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,5,0,0,0,0
2024,7/11/24,Avery,C17,57,33,Castilleja,3,4,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,3,3,4,0,30,0,0,0,0
2024,7/11/24,Avery,C17C,57,34,Control,3,0,1,0,0,0,4,0,0,0,1,0,0,0,0,0,0,5,0,0,7,0,2,0,30,0,0,0,0
2024,7/11/24,Avery,C18,58,35,Castilleja,0,0,7,0,0,0,3,0,2,1,2,0,0,0,1,0,0,4,0,0,0,0,4,0,9,0,0,2,0
2024,7/11/24,Avery,C18C,58,36,Control,0,0,1,0,0,0,5,0,0,1,5,0,0,0,0,0,0,5,0,0,0,3,3,0,12,0,0,1,0
2024,7/11/24,Avery,C19,59,37,Castilleja,1,1,3,0,0,0,2,0,2,0,1,0,0,0,2,0,0,0,0,0,10,0,3,0,20,0,0,5,0
2024,7/11/24,Avery,C19C,59,38,Control,2,0,5,0,1,0,0,0,0,0,3,0,0,0,2,0,0,0,0,1,4,0,4,0,25,0,0,1,0
2024,7/11/24,Avery,C20,60,39,Castilleja,0,0,3,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,10,0,4,0,30,0,0,1,0
2024,7/11/24,Avery,C20C,60,40,Control,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,10,0,1,0,18,0,0,2,0
